1,Chiefs vs Packers,Heads,Packers,Packers,Yes
2,Packers vs Raiders,Tails,Raiders,Packers,No
3,Colts vs Jets,Heads,Jets,Jets,Yes
4,Vikings vs Chiefs,Tails,Vikings,Chiefs,No
5,Colts vs Cowboys,Tails,Cowboys,Colts,No
6,Cowboys vs Dolphins,Heads,Dolphins,Cowboys,No
7,Dolphins vs Washington,Heads,Dolphins,Dolphins,Yes
8,Vikings vs Dolphins,Heads,Dolphins,Dolphins,Yes
9,Steelers vs Vikings,Tails,Steelers,Steelers,Yes
10,Cowboys vs Steelers,Heads,Cowboys,Steelers,No
11,Raiders vs Vikings,Tails,Raiders,Raiders,Yes
12,Cowboys vs Broncos,Heads,Cowboys,Cowboys,Yes
13,Steelers vs Cowboys,Heads,Cowboys,Steelers,No
14,Rams vs Steelers,Heads,Rams,Steelers,No
15,Raiders vs Eagles,Tails,Eagles,Raiders,No
16,49ers vs Bengals,Tails,49ers,49ers,Yes
17,Dolphins vs Washington,Tails,Dolphins,Washington,No
18,Washington vs Raiders,Heads,Raiders,Raiders,Yes
19,Dolphins vs 49ers,Tails,49ers,49ers,Yes
20,Bears vs Patriots,Tails,Bears,Bears,Yes
11,Raiders vs Vikings,Tails,Raiders,Raiders,Yes
12,Cowboys vs Broncos,Heads,Cowboys,Cowboys,Yes
13,Steelers vs Cowboys,Heads,Cowboys,Steelers,No
14,Rams vs Steelers,Heads,Rams,Steelers,No
15,Raiders vs Eagles,Tails,Eagles,Raiders,No
16,49ers vs Bengals,Tails,49ers,49ers,Yes
17,Dolphins vs Washington,Tails,Dolphins,Washington,No
18,Washington vs Raiders,Heads,Raiders,Raiders,Yes
19,Dolphins vs 49ers,Tails,49ers,49ers,Yes
20,Bears vs Patriots,Tails,Bears,Bears,Yes
21,Broncos vs Giants,Tails,Broncos,Giants,No
22,Washington vs Broncos,Heads,Washington,Washington,Yes
23,Bengals vs 49ers,Tails,49ers,49ers,Yes
24,49ers vs Broncos,Heads,Broncos,49ers,No
25,Bills vs Giants,Heads,Bills,Giants,No
26,Washington vs Bills,Heads,Washington,Washington,Yes
27,Bills vs Cowboys,Heads,Bills,Cowboys,No
28,Cowboys vs Bills,Tails,Cowboys,Cowboys,Yes
29,Chargers vs 49ers,Heads,49ers,49ers,Yes
30,Cowboys vs Steelers,Tails,Cowboys,Cowboys,Yes
31,Patriots vs Packers,Heads,Patriots,Packers,No
32,Packers vs Broncos,Tails,Packers,Broncos,No
33,Broncos vs Falcons,Tails,Falcons,Broncos,No
34,Rams vs Titans,Tails,Rams,Rams,Yes
35,Ravens vs Giants,Tails,Giants,Ravens,No
36,Rams vs Patriots,Heads,Rams,Patriots,No
37,Raiders vs Buccaneers,Tails,Buccaneers,Buccaneers,Yes
38,Panthers vs Patriots,Tails,Panthers,Patriots,No
39,Patriots vs Eagles,Tails,Eagles,Patriots,No
40,Seahawks vs Steelers,Tails,Seahawks,Steelers,No
41,Colts vs Bears,Heads,Bears,Colts,No
42,Giants vs Patriots,Tails,Giants,Giants,Yes
43,Steelers vs Cardinals,Heads,Cardinals,Steelers,No
44,Saints vs Colts,Heads,Saints,Saints,Yes
45,Steelers vs Packers,Heads,Packers,Packers,Yes
46,Giants vs Patriots,Heads,Patriots,Giants,No
47,Ravens vs 49ers,Heads,Ravens,Ravens,Yes
48,Seahawks vs Broncos,Tails,Seahawks,Seahawks,Yes
49,Patriots vs Seahawks,Tails,Seahawks,Patriots,No
50,Panthers vs Broncos,Tails,Panthers,Broncos,No
51,Patriots vs Falcons,Tails,Falcons,Patriots,No
52,Eagles vs Patriots,Heads,Patriots,Eagles,No
53,Patriots vs Rams,Tails,Rams,Patriots,No
54,49ers vs Chiefs,Tails,49ers,Chiefs,No
55,Chiefs vs Buccaneers,Heads,Chiefs,Buccaneers,No